codigo,nome
FTN,FTN - TÉRREO VARAS
2ª VT NATA,2ª VT NATA
SEREP,SEREP
TRT-21ª RE,TRT-21ª RE
CSI,CSI
CJUR,CJUR
CCS,CCS
SDP,SDP
SEZEL,SEZEL
DIMON,DIMON
SEALM,SEALM
SGP,SGP
EJUD,EJUD
BIBLIOTECA,BIBLIOTECA
1ª VT MOSS,1ª VT MOSS
2ª VT MOSS,2ª VT MOSS
VT CAICÓ,VT CAICÓ
CLP,CLP
SEGEP,SEGEP
DG,DG
VT CEARÁ-M,VT CEARÁ-M
3ª VT MOSS,3ª VT MOSS
4ª VT MOSS,4ª VT MOSS
COF,COF
GDRMS,GDRMS
11ª VT NAT,11ª VT NAT
GDAR,GDAR
GDBH,GDBH
GDCN,GDCN
GDEM,GDEM
GDER,GDER
GDIS,GDIS
GDJB,GDJB
GDPW,GDPW
GDRL,GDRL
DSAU,DSAU
5ª VT NATA,5ª VT NATA
FTM,FTM