Sigla,Descrição
AJDG,ASSESSORIA JURÍDICA DA DIRETORIA GERAL (CAPITAL)
AJAD,ASSESSORIA JURÍDICO-ADMINISTRATIVA (CAPITAL)
CEJUSC-JT2,CENTRO JUDICIÁRIO REGIONAL DE MÉTODOS CONCESUAIS E SOLUÇÃO DE DISPUTAS
SEALM,CLP/ALMOXARIFADO (CAPITAL)
SEREP,CLP/PATRIMÔNIO (CAPITAL)
SEZEL,CLP/ZELADORIA (CAPITAL)
CPJE,COORDENADORIA DE APOIO AO PJe
CCS,COORDENADORIA DE COMUNICAÇÃO SOCIAL (CAPITAL)
CEA,COORDENADORIA DE ENGENHARIA E ARQUITETURA (CAPITAL)
CLC,COORDENADORIA DE LICITAÇÕES E CONTRATOS (CAPITAL)
CLP,COORDENADORIA DE LOGÍSTICA E PATRIMÔNIO
CMPP,COORDENADORIA DE MANDADOS E PESQUISA PATRIMONIAL
COF,COORDENADORIA DE ORÇAMENTO E FINANÇAS (CAPITAL)
CGEST,COORDENADORIA DE PLANEJAMENTO E GESTÃO ESTRATÉGICA
CPREC,COORDENADORIA DE PRECATÓRIOS E REQUISITÓRIOS (CAPITAL)
CSI,COORDENADORIA DE SEGURANÇA INSTITUCIONAL E TRANSPORTE (CAPITAL)
CJUR,COORDENADORIA JURÍDICA DA PRESIDÊNCIA (CAPITAL)
DEPAT,DEPÓSITO PATRIMÔNIO (CAPITAL)
DCI,DIVISÃO DE CONTROLE INTERNO (CAPITAL)
DGTIC,DIVISÃO DE GOVERNANÇA E GESTÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO
DINF,DIVISÃO DE INFRAESTRUTURA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO
DIPAC,DIVISÃO DE INTELIGÊNCIA PRECEDENTES E AÇÕES COLETIVAS
DIM,DIVISÃO DE MAGISTRADOS (CAPITAL)
DIMON,DIVISÃO DE MONITORAMENTO E APOIO À PRIMEIRA INSTÂNCIA (CAPITAL)
DOUV,DIVISÃO DE OUVIDORIA
DPDP,DIVISÃO DE PROTEÇÃO DE DADOS PESSOAIS
DSAU,DIVISÃO DE SAÚDE
DSIPD,DIVISÃO DE SEGURANÇA DA INFORMAÇÃO E PROTEÇÃO DE DADOS
DISIF,DIVISÃO DE SISTEMAS DE INFORMAÇÃO
BIBLIOTECA,EJUD/BIBLIOTECA (CAPITAL)
FTM,FÓRUM TRABALHISTA DE MOSSORÓ/RN (INTERIOR)
FTN,FÓRUM TRABALHISTA DE NATAL/RN (CAPITAL)
GDIS,GABINETE DA DESEMBARGADORA ISAURA MARIA BARBALHO SIMONETTI
GDAR,GABINETE DA DESEMBARGADORA MARIA AUXILIADORA BARROS DE MEDEIROS RODRIGUES (CAPITAL)
GDPW,GABINETE DA DESEMBARGADORA MARIA DO PERPÉTUO SOCORRO W. DE CASTRO (CAPITAL)
DG,GABINETE DA DIRETORIA GERAL (CAPITAL)
GPSECEI,GABINETE DA PRESIDÊNCIA/SETOR DE CERIMONIAL E EVENTOS INSTITUCIONAIS (CAPITAL)
GDBH,GABINETE DO DESEMBARGADOR BENTO HERCULANO DUARTE NETO (CAPITAL)
GDCN,GABINETE DO DESEMBARGADOR CARLOS NEWTON PINTO (CAPITAL)
GDER,GABINETE DO DESEMBARGADOR EDUARDO SERRANO DA ROCHA (CAPITAL)
GDEM,GABINETE DO DESEMBARGADOR ERIDSON JOÃO FERNANDES MEDEIROS (CAPITAL)
GDJB,GABINETE DO DESEMBARGADOR JOSÉ BARBOSA FILHO (CAPITAL)
GDRL,GABINETE DO DESEMBARGADOR RICARDO LUIS ESPÍNDOLA BORGES (CAPITAL)
GDRMS,GABINETE DO DESEMBARGADOR RONALDO MEDEIROS DE SOUZA (CAPITAL)
PAPF,POSTO AVANÇADO DA JUSTIÇA DO TRABALHO EM PAU DOS FERROS
T1,PRIMEIRA TURMA DE JULGAMENTOS (CAPITAL)
SCJUSC-JT,SEÇÃO DE CONCILIAÇÃO DO CJUSC-JT21/MOSSORÓ
SECD,SEÇÃO DE ESTATÍSTICA E CIÊNCIA DE DADOS
SGDM,SEÇÃO DE GESTÃO DOCUMENTAL E MEMÓRIA
SEGOC,SEÇÃO DE GOVERNANÇA ORÇAMENTÁRIA E DE CONTRATAÇÕES
SPPO,SEÇÃO DE PROJETOS E PROCESSOS ORGANIZACIONAIS
SCR,SECRETARIA DA CORREGEDORIA (CAPITAL)
EJ,SECRETARIA DA ESCOLA JUDICIAL
SGGE,SECRETARIA DE GOVERNANÇA E GESTÃO ESTRATÉGICA
SETIC,SECRETARIA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO (CAPITAL)
STP,SECRETARIA DO TRIBUNAL PLENO (CAPITAL)
SGP,SECRETARIA GERAL DA PRESIDÊNCIA
SEGEP,SECRETARIA DE GESTÃO DE PESSOAS
T2,SEGUNDA TURMA DE JULGAMENTOS (CAPITAL)
SEASB,"SETOR DE AMBIENTE VIRTUAL, SISTEMA OPERACIONAL E ADMINISTRAÇÃO DE BANCO DE DADOS"
SEAP,SETOR DE APLICAÇÕES DE TIC
SDP,SETOR DE DEPÓSITO JUDICIAL
SEGEST,SETOR DE GESTÃO ESTRATÉGICA
SEGOI,SETOR DE GOVERNANÇA INSTITUCIONAL
SERSA,SETOR DE RESPONSABILIDADE SOCIOAMBIENTAL E ACESSIBILIDADE
SERIN,SETOR DE RISCOS E INTEGRIDADE
SESI,SETOR DE SEGURANÇA DA INFORMAÇÃO
SEGS,SETOR DE SERVIÇOS DE TIC
VT ASSU,VARA DO TRABALHO DE ASSU (INTERIOR)
VT CAICÓ,VARA DO TRABALHO DE CAICÓ (INTERIOR)
VT CEARÁ-M,VARA DO TRABALHO DE CEARÁ-MIRIM (INTERIOR)
VT CURRAIS,VARA DO TRABALHO DE CURRAIS NOVOS (INTERIOR)
VT GOIANIN,VARA DO TRABALHO DE GOIANINHA (INTERIOR)
VT MACAU,VARA ÚNICA DO TRABALHO DE MACAU (INTERIOR)
1ª VT MOSS,1ª VARA DO TRABALHO DE MOSSORÓ (INTERIOR)
1ª VT NATA,1ª VARA DO TRABALHO DE NATAL (CAPITAL)
10ª VT NAT,10ª VARA DO TRABALHO DE NATAL (CAPITAL)
11ª VT NAT,11ª VARA DO TRABALHO DE NATAL (CAPITAL)
12ª VT NAT,12ª VARA DO TRABALHO DE NATAL (CAPITAL)
13ª VT NAT,13ª VARA DO TRABALHO DE NATAL (CAPITAL)
2ª VT MOSS,2ª VARA DO TRABALHO DE MOSSORÓ (INTERIOR)
2ª VT NATA,2ª VARA DO TRABALHO DE NATAL (CAPITAL)
3ª VT MOSS,3ª VARA DO TRABALHO DE MOSSORÓ (INTERIOR)
3ª VT NATA,3ª VARA DO TRABALHO DE NATAL (CAPITAL)
4ª VT MOSS,4ª VARA DO TRABALHO DE MOSSORÓ (INTERIOR)
4ª VT NATA,4ª VARA DO TRABALHO DE NATAL (CAPITAL)
5ª VT NATA,5ª VARA DO TRABALHO DE NATAL (CAPITAL)
6ª VT NATA,6ª VARA DO TRABALHO DE NATAL (CAPITAL)
7ª VT NATA,7ª VARA DO TRABALHO DE NATAL (CAPITAL)
8ª VT NATA,8ª VARA DO TRABALHO DE NATAL (CAPITAL)
9ª VT NAT,9ª VARA DO TRABALHO DE NATAL (CAPITAL)
